ID,Input1,Type,Input2
G1,A0,XOR,B0
G2,G1,XOR,Cin
SUM0,G2,BUF,-
G4,A0,NAND,B0
G5,A0,NAND,Cin
G6,B0,NAND,Cin
G7,G4,NAND,G5
C0,G7,NAND,G6
G9,A1,XOR,B1
G10,G9,XOR,C0
SUM1,G10,BUF,-
G12,A1,NAND,B1
G13,A1,NAND,C0
G14,B1,NAND,C0
G15,G12,NAND,G13
C1,G15,NAND,G14
G17,A2,XOR,B2
G18,G17,XOR,C1
SUM2,G18,BUF,-
G20,A2,NAND,B2
G21,A2,NAND,C1
G22,B2,NAND,C1
G23,G20,NAND,G21
C2,G23,NAND,G22
G25,A3,XOR,B3
G26,G25,XOR,C2
SUM3,G26,BUF,-
G28,A3,NAND,B3
G29,A3,NAND,C2
G30,B3,NAND,C2
G31,G28,NAND,G29
C3,G31,NAND,G30
G33,A4,XOR,B4
G34,G33,XOR,C3
SUM4,G34,BUF,-
G36,A4,NAND,B4
G37,A4,NAND,C3
G38,B4,NAND,C3
G39,G36,NAND,G37
C4,G39,NAND,G38
G41,A5,XOR,B5
G42,G41,XOR,C4
SUM5,G42,BUF,-
G44,A5,NAND,B5
G45,A5,NAND,C4
G46,B5,NAND,C4
G47,G44,NAND,G45
C5,G47,NAND,G46
G49,A6,XOR,B6
G50,G49,XOR,C5
SUM6,G50,BUF,-
G52,A6,NAND,B6
G53,A6,NAND,C5
G54,B6,NAND,C5
G55,G52,NAND,G53
C6,G55,NAND,G54
